Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
122,00:00:04.033,3.6876568930041156,7.101041666666666,6.551288580246913,0.9140972222222222,3.59758487654321
123,00:00:04.067,0.3822993827160494,2.8274305555555554,0.5537885802469136,0.20329475308641975,0.38981481481481484
124,00:00:04.100,2.2067489711934156,4.881597222222222,4.241527777777778,0.8654012345679012,1.5133179012345679
125,00:00:04.133,0.3597530864197531,1.410763888888889,0.6292746913580247,0.11226851851851852,0.33771604938271604
126,00:00:04.167,3.744601337448559,8.81087962962963,7.188557098765432,1.1335802469135803,2.9116666666666666
127,00:00:04.200,2.206977880658436,7.567361111111111,3.2156404320987653,0.6979706790123457,2.7073225308641975
128,00:00:04.233,2.1850077160493826,6.60324074074074,4.2657638888888885,0.7897222222222222,1.4995370370370371
129,00:00:04.267,1.7306918724279836,9.444444444444445,3.173425925925926,0.6265972222222222,1.3920524691358025
130,00:00:04.300,1.3641460905349794,5.025231481481481,2.7618672839506173,0.3478935185185185,0.9826774691358025
131,00:00:04.333,1.2045036008230452,5.928356481481481,1.8565432098765433,0.6095987654320988,1.1473688271604938
132,00:00:04.367,1.8071733539094652,8.653472222222222,2.59641975308642,0.6472067901234568,2.1778935185185184
133,00:00:04.400,4.425884773662552,10.542361111111111,7.4610262345679015,1.1761265432098766,4.640501543209877
134,00:00:04.433,4.801952160493827,7.531944444444444,10.616188271604939,0.48607253086419755,3.3035956790123455
135,00:00:04.467,0.9678523662551441,4.472337962962963,1.390108024691358,0.3520987654320988,1.1613503086419754
136,00:00:04.500,1.0771424897119342,2.44375,2.3163503086419754,0.2420293209876543,0.6730478395061729
137,00:00:04.533,1.4488683127572017,6.674074074074074,2.4269212962962965,0.6665586419753087,1.253125
138,00:00:04.567,1.3356584362139918,5.983449074074074,2.1823842592592593,0.6354243827160494,1.1891666666666667
139,00:00:04.600,0.6364840534979425,3.220949074074074,0.9891512345679012,0.30405864197530863,0.6162422839506173
140,00:00:04.633,0.46363168724279835,3.1934027777777776,0.7972222222222223,0.18850308641975308,0.4051697530864197
141,00:00:04.667,0.9283564814814816,3.852546296296296,1.3776851851851852,0.5289197530864198,0.8784645061728396
142,00:00:04.700,2.4478986625514403,7.433564814814815,3.777723765432099,0.8094135802469136,2.7565586419753085
143,00:00:04.733,1.5375745884773664,5.162962962962963,2.383418209876543,0.7262808641975309,1.5030246913580247
144,00:00:04.767,1.0878626543209877,5.420717592592593,1.4181944444444445,0.6787885802469136,1.1666049382716048
145,00:00:04.800,4.255061728395062,8.852199074074074,6.783981481481481,0.7021527777777777,5.279050925925926
